text,label
That made me smile.,kind
I hate your face..,mean
I’m grateful for you..,kind
You're pathetic. Always.,mean
That was very kind of you. Always.,kind
You're the worst.,mean
You brighten my day.,kind
Why are you even here?,mean
You're a total disgrace. Always.,mean
I hate your face.,mean
You mess everything up. You know that?,mean
You're a failure.,mean
You're so stupid.,mean
You have a kind heart.,kind
Why are you even here?,mean
You're an inspiration. Always.,kind
I’m lucky to know you.,kind
You're such a burden.,mean
That made me smile. Seriously.,kind
You mess everything up.,mean
That was very kind of you.,kind
That made me smile.,kind
I appreciate you.,kind
Thank you so much! Seriously.,kind
Stop embarrassing yourself.,mean
That made me smile. You know that?,kind
You're truly special. Always.,kind
You're useless.,mean
That made me smile.,kind
I admire your strength. Always.,kind
I hate your face. You know that?,mean
I hate your face. Seriously.,mean
That made me smile.,kind
You're such a burden..,mean
Stop embarrassing yourself.,mean
You're a failure. You know that?,mean
You're a total disgrace.,mean
You're always wrong.,mean
You mess everything up. Always.,mean
You're truly special. Seriously.,kind
You're doing great! Seriously.,kind
You're amazing.,kind
No one likes you.,mean
You brighten my day..,kind
I hate your face..,mean
You mess everything up.,mean
You're annoying. You know that?,mean
You're the worst.,mean
Why are you even here?,mean
You're an inspiration..,kind
I hate your face.,mean
Thanks for being there.,kind
You're not worth anyone's time.,mean
You're not worth anyone's time.,mean
Why are you even here? Seriously.,mean
You're a failure..,mean
You're a failure. Seriously.,mean
You’re always so helpful. Always.,kind
Go away already.,mean
That was very kind of you. You know that?,kind
You have a kind heart.,kind
You're pathetic. Always.,mean
That was very kind of you.,kind
I’m grateful for you.,kind
Nobody wants you here.,mean
I wish you'd leave forever. Seriously.,mean
You have a kind heart.,kind
Nobody wants you here. Seriously.,mean
You're amazing. You know that?,kind
I admire your strength..,kind
You have a kind heart.,kind
Keep being awesome.,kind
Thanks for being there.,kind
You're doing great! Seriously.,kind
Everything is your fault.!,mean
That was very kind of you.,kind
That was very kind of you.!,kind
Stop embarrassing yourself. Seriously.,mean
You mess everything up.,mean
Thanks for being there. Always.,kind
I’m grateful for you.,kind
You're amazing.,kind
I can't stand you.,mean
Keep being awesome. You know that?,kind
You're not worth anyone's time.,mean
Stop embarrassing yourself. You know that?,mean
You're not worth anyone's time.,mean
That made me smile. Seriously.,kind
You're such a burden. Always.,mean
I can't stand you.,mean
You're an inspiration..,kind
I hate your face.,mean
You're the worst.!,mean
Thank you so much! You know that?,kind
Thank you so much! You know that?,kind
I admire your strength.,kind
You're not worth anyone's time. Seriously.,mean
You're a failure.,mean
You're pathetic.,mean
Stop embarrassing yourself.!,mean
You're annoying. You know that?,mean
I hate your face.,mean
You're useless.,mean
No one likes you.!,mean
You're such a burden.!,mean
Thanks for your help.!,kind
That was very kind of you. Always.,kind
I can't stand you.!,mean
You're such a burden.,mean
Nobody wants you here.,mean
Stop embarrassing yourself.,mean
You're useless.!,mean
That made me smile.,kind
You brighten my day.,kind
I wish you'd leave forever.,mean
That made me smile.,kind
Thank you so much!,kind
I’m grateful for you. You know that?,kind
Why are you even here? Seriously.,mean
You're annoying.,mean
You're such a burden.,mean
I can't stand you.,mean
You're doing great!,kind
You're not worth anyone's time.,mean
I’m grateful for you.,kind
You're so stupid.,mean
You're wonderful. Seriously.,kind
I admire your strength.,kind
You're a total disgrace.,mean
I’m lucky to know you. You know that?,kind
I hate your face.,mean
You're the worst.,mean
You're a failure. Always.,mean
You're truly special.!,kind
You're so thoughtful.,kind
I can't stand you..,mean
I appreciate you.,kind
I admire your strength. Seriously.,kind
You're an inspiration.,kind
No one likes you.!,mean
That made me smile.!,kind
I’m grateful for you.,kind
I hate your face. Always.,mean
I can't stand you. Always.,mean
You're doing great! You know that?,kind
I’m grateful for you.,kind
I can't stand you.,mean
You're wonderful. Seriously.,kind
Thank you so much!,kind
You're annoying.,mean
I’m grateful for you.,kind
You're not worth anyone's time. You know that?,mean
That made me smile.,kind
Thanks for being there.,kind
I hate your face.,mean
Everything is your fault.,mean
I’m grateful for you.!,kind
Thanks for being there..,kind
I admire your strength.,kind
You're so stupid..,mean
You're so stupid.,mean
You're an inspiration.,kind
Keep being awesome.,kind
I wish you'd leave forever.,mean
Stop embarrassing yourself.,mean
You're wonderful.,kind
Thank you so much!,kind
No one likes you. You know that?,mean
That was very kind of you. Seriously.,kind
You're an inspiration. You know that?,kind
I admire your strength. Seriously.,kind
You're truly special. Always.,kind
You're a total disgrace. Seriously.,mean
You're wonderful.,kind
You're not worth anyone's time. Seriously.,mean
You're always wrong. You know that?,mean
You're useless.,mean
Why are you even here?,mean
You're such a burden.,mean
Why are you even here?,mean
I’m grateful for you.,kind
You're a failure. Seriously.,mean
I wish you'd leave forever..,mean
I wish you'd leave forever. You know that?,mean
You're a total disgrace.!,mean
You're such a burden.,mean
You’re always so helpful.,kind
You have a kind heart..,kind
Thanks for your help.,kind
Everything is your fault.,mean
I hate your face.!,mean
You're truly special.,kind
You have a kind heart.,kind
Nobody wants you here..,mean
You're pathetic.,mean
Everything is your fault.,mean
Keep being awesome.,kind
Stop embarrassing yourself. You know that?,mean
Go away already.,mean
That was very kind of you.,kind
Thank you so much!,kind
Thanks for your help..,kind
Nobody wants you here.,mean
You brighten my day. You know that?,kind
I can't stand you..,mean
You're a failure..,mean
Keep being awesome.,kind
You have a kind heart. Always.,kind
You're amazing. Always.,kind
That was very kind of you.,kind
That was very kind of you.,kind
Stop embarrassing yourself.,mean
I hate your face.,mean
Thanks for being there.,kind
You're an inspiration.,kind
You're so talented.,kind
I admire your strength.,kind
You’re always so helpful.,kind
Thanks for being there. You know that?,kind
I can't stand you. You know that?,mean
You're a failure.,mean
Stop embarrassing yourself.,mean
Thank you so much! Seriously.,kind
You're doing great!,kind
You're annoying. Always.,mean
You're pathetic.!,mean
Thanks for your help.,kind
I appreciate you.!,kind
I’m grateful for you.!,kind
You're so talented.!,kind
You mess everything up..,mean
Thank you so much! Always.,kind
That was very kind of you.,kind
You have a kind heart. Seriously.,kind
Stop embarrassing yourself. Always.,mean
You're amazing.,kind
Everything is your fault.,mean
You're so talented.,kind
Thanks for your help.,kind
You're doing great! Always.,kind
Keep being awesome.,kind
Why are you even here?,mean
You're always wrong.,mean
Thank you so much!,kind
I’m grateful for you.,kind
You're always wrong.,mean
I’m lucky to know you. You know that?,kind
You're so talented.,kind
Why are you even here?,mean
No one likes you. You know that?,mean
I hate your face. Seriously.,mean
You're such a burden. Always.,mean
You're amazing.!,kind
That made me smile.,kind
Everything is your fault.,mean
Thanks for your help. Always.,kind
You're not worth anyone's time.!,mean
Stop embarrassing yourself.,mean
You're wonderful.,kind
Thanks for your help.,kind
Thanks for your help.,kind
You brighten my day.,kind
You're an inspiration. Seriously.,kind
You brighten my day.,kind
Nobody wants you here.,mean
You're amazing.,kind
You're wonderful.!,kind
Thank you so much!,kind
I’m lucky to know you.,kind
You're doing great! You know that?,kind
You're a total disgrace. Seriously.,mean
You're amazing. Always.,kind
I admire your strength. Seriously.,kind
You're doing great!,kind
I’m grateful for you.,kind
No one likes you.,mean
You're annoying. Always.,mean
I hate your face.!,mean
You’re always so helpful.!,kind
You're a total disgrace.,mean
You’re always so helpful.,kind
You're always wrong.!,mean
Stop embarrassing yourself..,mean
You're truly special.,kind
I appreciate you.,kind
I appreciate you. Always.,kind
I wish you'd leave forever.,mean
I’m lucky to know you..,kind
I wish you'd leave forever. You know that?,mean
You're always wrong..,mean
You're a total disgrace. You know that?,mean
That was very kind of you.,kind
Thanks for being there.,kind
Go away already.,mean
You're the worst.,mean
You're pathetic.!,mean
I can't stand you. Always.,mean
You're such a burden.,mean
You're pathetic..,mean
Everything is your fault.,mean
